OBJECTID,shape_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_type_text,Shape__Length
287,119690,15775,823,Belvedere,,3,https://itsmarta.com/823.aspx,00FF00,,Bus,0.0949316877285831
288,119691,15683,34,Gresham Road,,3,https://itsmarta.com/34.aspx,FF00FF,,Bus,0.123410827388578
289,119692,15692,51,Joseph E Boone Boulevard,,3,https://itsmarta.com/51.aspx,00FFFF,,Bus,0.110577352855631
290,119693,15709,86,Fairington Road,,3,https://itsmarta.com/86.aspx,A6CAF0,,Bus,0.202210215650612
291,119694,15739,150,Dunwoody Village,,3,https://itsmarta.com/150.aspx,00FFFF,,Bus,0.101174666485715
292,119695,15759,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,,Bus,0.11298287682942
293,119696,15759,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,,Bus,0.100212061526511
294,119697,15777,832,Grant Park,,3,https://itsmarta.com/832.aspx,00FF00,,Bus,0.105024188036249
295,119698,15667,4,Moreland Avenue,,3,https://itsmarta.com/4.aspx,FF00FF,,Bus,0.111151800795927
296,119699,15697,68,Benjamin E Mays Drive,,3,https://itsmarta.com/68.aspx,FF0000,,Bus,0.189145303224642
297,119700,15699,73,Fulton Industrial,,3,https://itsmarta.com/73.aspx,008000,,Bus,0.121874840142081
298,119701,15710,87,Roswell Road / Sandy Springs,,3,https://itsmarta.com/87.aspx,00FFFF,,Bus,0.19418935760859
299,119702,15725,119,Hairston Road / Stone Mtn Village,,3,https://itsmarta.com/119.aspx,008080,,Bus,0.165026699453291
300,119703,15750,186,Rainbow Drive / South DeKalb,,3,https://itsmarta.com/186.aspx,00FF00,,Bus,0.220194822605127
301,119704,15755,193,Morrow / Jonesboro,,3,https://itsmarta.com/193.aspx,008080,,Bus,0.282270632662525
302,119705,15755,193,Morrow / Jonesboro,,3,https://itsmarta.com/193.aspx,008080,,Bus,0.317256090840695
303,119706,15759,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,,Bus,0.100212061526511
304,119707,15664,1,Marietta Blvd/Joseph E Lowery Blvd,,3,https://itsmarta.com/1.aspx,FF00FF,,Bus,0.109909557060529
305,119708,15665,2,Ponce de Leon Avenue / Druid Hills,,3,https://itsmarta.com/2.aspx,008000,,Bus,0.0846314002900364
306,119709,15692,51,Joseph E Boone Boulevard,,3,https://itsmarta.com/51.aspx,00FFFF,,Bus,0.110625717218527
307,119710,15723,116,Redan Road,,3,https://itsmarta.com/116.aspx,00FFFF,,Bus,0.197145656795107
308,119711,15759,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,,Bus,0.11298287682942
309,119712,15782,867,Peyton Forest / Dixie Hills,,3,https://itsmarta.com/867.aspx,00FFFF,,Bus,0.120627769742761
310,119713,15666,3,Martin Luther King Jr Dr/Auburn Ave,,3,https://itsmarta.com/3.aspx,FF8000,,Bus,0.117151529721992
311,119714,15683,34,Gresham Road,,3,https://itsmarta.com/34.aspx,FF00FF,,Bus,0.137651352926308
